County,RH
Clarendon,43.9343283477599
Richland,42.199684426907055
Bamberg,45.033304187086216
Lexington,41.907608327966464
Kershaw,37.32012826645323
Lee,42.501763520097285
Chester,41.6470605521169
Fairfield,42.1778594747571
Orangeburg,43.724742314159506
Calhoun,43.282455669094524
Union,44.035757958350075
Newberry,42.30616420036806
Sumter,39.328803683095586
Williamsburg,45.17144546042386
Lancaster,41.966790350473985
Darlington,42.62393538717845
Colleton,46.77135263529608
Chesterfield,42.304544659705826
Aiken,42.82260102554099
Florence,43.364896850233876
Saluda,43.56007167336182
Spartanburg,43.27834746463513
Laurens,38.65603518247561
Cherokee,43.14058104096562
Charleston,51.49481453278311
Berkeley,45.59196899060369
Dorchester,47.274466995758054
Georgetown,50.00147026719808
Horry,48.98899340744527
Marlboro,42.34258491926061
Marion,45.51590107687458
Dillon,43.90673056437952
Greenville,42.20638651294585
Abbeville,43.33431121138397
Anderson,42.68888068111503
Pickens,42.75062094564102
Oconee,42.85923073949157
Greenwood,43.02961769389752
York,35.308507698514184
Allendale,44.18881773252212
Barnwell,43.1504786588125
Edgefield,42.982034337131935
McCormick,42.592527632089144
Beaufort,36.53609708640309
Hampton,46.58974242136972
Jasper,46.98041920895621
