Year,High,Count
2019,72.9862318840579,16756
2018,73.21413043478256,17870
2017,75.66340579710149,18364
2016,73.40869565217392,20792
2015,74.80199275362324,13320
2014,71.826268115942,12548
2013,73.87554347826091,12128
2012,74.98369565217394,12560
2011,75.85452898550723,13229
2010,74.10579710144937,14932
2009,72.44420289855066,16123
2008,74.97391304347826,14343
2007,74.35181159420291,12047
2006,75.77391304347832,12106
2005,73.75652173913038,11630
2004,69.44945652173917,11007
2003,71.65018115942033,12420
2002,73.75489130434778,10528
2001,76.18079710144917,8324
2000,73.31072727272735,5865
1999,71.23649635036496,4997
1998,72.30919324577856,4394
1997,71.09130434782608,4125
1996,72.95226860254071,3457
1995,75.47150635208706,3070
1994,74.83157894736836,2732
1993,73.2882032667876,2509
1992,71.86878402903807,568
1991,73.7538043478261,321
1990,79.60163339382927,258
1989,76.41234119782213,222
1988,72.66624319419229,186
