County,Dewpoint
Clarendon,47.33559218559219
Richland,46.561677835324645
Bamberg,49.35568847343473
Lexington,46.59116246795097
Kershaw,40.37939017917604
Lee,45.57977207977208
Chester,43.77078686146813
Fairfield,46.040912168963565
Orangeburg,47.566588014440384
Calhoun,47.21688034188034
Union,45.05846188721964
Newberry,45.970229025970454
Sumter,42.62774567311505
Williamsburg,47.56166056166056
Lancaster,44.064856933005196
Darlington,46.287393162393165
Colleton,50.14743589743589
Chesterfield,45.555158200129696
Aiken,47.43792076719268
Florence,47.134920634920626
Saluda,47.55763282636944
Spartanburg,44.0040246368826
Laurens,39.75910369272254
Cherokee,43.32745726495727
Charleston,51.58742368742369
Berkeley,47.126984126984134
Dorchester,50.30555555555555
Georgetown,49.475573897587175
Horry,48.94497607238507
Marlboro,46.21646715058686
Marion,47.704404363183805
Dillon,47.08382949728035
Greenville,43.387892116891265
Abbeville,45.016852431413454
Anderson,44.39963439409211
Pickens,43.70585148393582
Oconee,44.60275380442419
Greenwood,45.27654893286585
York,36.52527472500307
Allendale,48.71282051282051
Barnwell,47.620771793041605
Edgefield,47.55118047548454
McCormick,46.47870111092809
Beaufort,39.20714624881291
Hampton,50.366206443129514
Jasper,50.699572649572644
